"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
0.87;"Ideal";"H";"SI2";62.7;56;2816;6.16;6.13;3.85
2.15;"Very Good";"I";"SI2";63.4;56;12100;8.2;8.15;5.18
2.54;"Ideal";"I";"SI2";61.4;54;12687;8.83;8.78;5.41
0.44;"Ideal";"D";"VS1";61.6;56;1235;4.85;4.92;3.01
1.1;"Good";"E";"SI2";63.3;56;4065;6.53;6.58;4.15
0.4;"Ideal";"J";"VVS2";61.9;55;662;4.74;4.79;2.95
0.71;"Premium";"F";"VS2";62.4;59;2686;5.71;5.66;3.55
0.81;"Premium";"H";"VS1";61.7;58;3107;5.98;5.95;3.68
0.35;"Ideal";"D";"VS2";62.4;57;1063;4.56;4.51;2.83
0.7;"Premium";"E";"SI1";62.9;58;2333;5.68;5.61;3.55
0.25;"Very Good";"E";"VVS1";62.9;59;576;3.99;4.02;2.52
0.36;"Premium";"H";"VS1";61.6;59;810;4.57;4.52;2.8
1.05;"Premium";"G";"VS1";61.1;59;7644;6.6;6.55;4.02
0.3;"Very Good";"H";"VVS2";62;56;559;4.28;4.3;2.66
0.81;"Premium";"F";"SI1";60.3;59;3097;5.98;6.05;3.63
0.5;"Premium";"E";"SI2";59.5;59;1240;5.19;5.16;3.08
1.5;"Very Good";"E";"VS2";61.9;57;11939;7.31;7.38;4.55
0.51;"Ideal";"G";"VS1";61.4;54;1599;5.15;5.18;3.17
1.2;"Ideal";"H";"VS1";62;57;7294;6.69;6.76;4.17
1.7;"Premium";"H";"SI1";61.8;61;11848;7.59;7.52;4.67
1.5;"Very Good";"E";"SI2";63.5;60;6300;7.19;7.12;4.54
1.11;"Premium";"H";"SI2";61.9;59;4973;6.6;6.56;4.07
0.38;"Ideal";"E";"IF";61.4;55;1402;4.68;4.74;2.89
0.7;"Good";"I";"SI1";58.5;61;2276;5.76;5.82;3.39
2.01;"Ideal";"G";"SI2";61.5;55;11602;8.15;8.11;5
1;"Very Good";"F";"VVS2";62.3;57;8772;6.34;6.41;3.97
0.47;"Ideal";"E";"SI2";61.5;55;931;4.98;5.04;3.08
0.75;"Ideal";"F";"SI1";60.8;57;3610;5.87;5.9;3.58
0.52;"Ideal";"D";"SI2";62.5;56;1289;5.08;5.12;3.19
0.9;"Very Good";"I";"VS2";63.1;57;3473;6.12;6.09;3.85
1;"Very Good";"D";"SI2";58.3;61;4543;6.54;6.59;3.83
0.3;"Very Good";"D";"SI2";63;55;447;4.25;4.26;2.68
0.67;"Premium";"G";"VVS2";60.1;60;2658;5.66;5.58;3.38
0.53;"Ideal";"F";"SI1";61.8;56;1360;5.19;5.23;3.22
1;"Very Good";"D";"SI1";61.4;63;6040;6.35;6.41;3.92
0.64;"Ideal";"E";"VVS2";62.1;53;3157;5.51;5.54;3.43
1.26;"Ideal";"G";"VS1";62.3;57;6604;6.93;6.87;4.3
1.21;"Premium";"I";"SI2";59.9;61;4337;6.89;6.85;4.11
1.23;"Premium";"D";"VS2";62.6;52;9257;6.93;6.88;4.32
0.82;"Ideal";"F";"SI2";60.9;57;2966;6.06;6.02;3.68
0.3;"Premium";"E";"VS2";60.4;58;658;4.3;4.34;2.61
0.51;"Ideal";"D";"VS1";62.3;56;1882;5.09;5.12;3.18
0.9;"Good";"J";"VS2";64;61;2822;6.04;6.03;3.86
1.23;"Premium";"D";"SI2";58;59;4470;7.02;6.97;4.06
0.91;"Very Good";"J";"I1";63.1;57;2048;6.12;6.06;3.84
0.31;"Good";"F";"VS2";58.2;58;637;4.46;4.51;2.61
0.41;"Ideal";"I";"IF";61.1;57;953;4.78;4.81;2.93
0.49;"Ideal";"H";"SI2";60.7;56;1190;5.13;5.18;3.13
0.72;"Ideal";"G";"VVS1";62.2;57;3502;5.72;5.75;3.57
0.62;"Very Good";"G";"VS1";60.1;58;2161;5.52;5.54;3.32
1.15;"Premium";"G";"VS2";62.6;58;6557;6.68;6.71;4.19
0.54;"Premium";"I";"IF";58.8;61;1836;5.35;5.29;3.13
0.91;"Premium";"E";"SI2";61.1;59;3703;6.2;6.24;3.8
1.58;"Premium";"G";"VS1";62.1;59;12530;7.43;7.46;4.62
1.03;"Premium";"H";"SI1";60.7;60;4384;6.61;6.53;3.99
1;"Ideal";"I";"SI1";61.4;56;4200;6.45;6.39;3.94
0.31;"Ideal";"G";"VS2";62.1;55;577;4.35;4.38;2.71
0.72;"Very Good";"I";"VS2";61.1;56;2337;5.76;5.79;3.53
0.7;"Good";"F";"VS2";63.8;60;2290;5.61;5.52;3.55
0.7;"Premium";"D";"SI2";62.1;60;2319;5.73;5.71;3.55
0.41;"Very Good";"E";"VVS2";61.6;60;1249;4.75;4.77;2.93
0.31;"Premium";"G";"SI2";62.3;57;523;4.37;4.33;2.71
1.39;"Very Good";"I";"VS1";62.2;57;7893;7.17;7.1;4.44
1.07;"Premium";"G";"SI1";61.6;58;5453;6.6;6.56;4.05
1.13;"Premium";"E";"SI2";60.4;59;5316;6.75;6.7;4.06
0.33;"Ideal";"E";"VVS2";61.8;56;891;4.44;4.46;2.75
0.72;"Premium";"D";"SI2";60.5;58;2670;5.88;5.79;3.53
1.08;"Fair";"J";"SI2";64.9;60;3302;6.46;6.32;4.15
