make	fuel	doors	wheels	cyl	ps	city.mpg	hwy.mpg	price
alfa-romero	gas	two	rwd	four	111	21	27	13495
alfa-romero	gas	two	rwd	four	111	21	27	16500
alfa-romero	gas	two	rwd	six	154	19	26	16500
audi	gas	four	fwd	four	102	24	30	13950
audi	gas	four	4wd	five	115	18	22	17450
audi	gas	two	fwd	five	110	19	25	15250
audi	gas	four	fwd	five	110	19	25	17710
audi	gas	four	fwd	five	110	19	25	18920
audi	gas	four	fwd	five	140	17	20	23875
bmw	gas	two	rwd	four	101	23	29	16430
bmw	gas	four	rwd	four	101	23	29	16925
bmw	gas	two	rwd	six	121	21	28	20970
bmw	gas	four	rwd	six	121	21	28	21105
bmw	gas	four	rwd	six	121	20	25	24565
bmw	gas	four	rwd	six	182	16	22	30760
bmw	gas	two	rwd	six	182	16	22	41315
bmw	gas	four	rwd	six	182	15	20	36880
chevrolet	gas	two	fwd	three	48	47	53	5151
chevrolet	gas	two	fwd	four	70	38	43	6295
chevrolet	gas	four	fwd	four	70	38	43	6575
dodge	gas	two	fwd	four	68	37	41	5572
dodge	gas	two	fwd	four	68	31	38	6377
dodge	gas	two	fwd	four	102	24	30	7957
dodge	gas	four	fwd	four	68	31	38	6229
dodge	gas	four	fwd	four	68	31	38	6692
dodge	gas	four	fwd	four	68	31	38	7609
dodge	gas	?	fwd	four	102	24	30	8558
dodge	gas	four	fwd	four	88	24	30	8921
dodge	gas	two	fwd	four	145	19	24	12964
honda	gas	two	fwd	four	58	49	54	6479
honda	gas	two	fwd	four	76	31	38	6855
honda	gas	two	fwd	four	60	38	42	5399
honda	gas	two	fwd	four	76	30	34	6529
honda	gas	two	fwd	four	76	30	34	7129
honda	gas	four	fwd	four	76	30	34	7295
honda	gas	four	fwd	four	76	30	34	7295
honda	gas	two	fwd	four	86	27	33	7895
honda	gas	two	fwd	four	86	27	33	9095
honda	gas	four	fwd	four	86	27	33	8845
honda	gas	four	fwd	four	86	27	33	10295
honda	gas	four	fwd	four	101	24	28	12945
honda	gas	two	fwd	four	100	25	31	10345
isuzu	gas	four	rwd	four	78	24	29	6785
isuzu	gas	two	rwd	four	90	24	29	11048
jaguar	gas	four	rwd	six	176	15	19	32250
jaguar	gas	four	rwd	six	176	15	19	35550
jaguar	gas	two	rwd	twelve	262	13	17	36000
mazda	gas	two	fwd	four	68	30	31	5195
mazda	gas	two	fwd	four	68	31	38	6095
mazda	gas	two	fwd	four	68	31	38	6795
mazda	gas	four	fwd	four	68	31	38	6695
mazda	gas	four	fwd	four	68	31	38	7395
mazda	gas	two	rwd	two	101	17	23	10945
mazda	gas	two	rwd	two	101	17	23	11845
mazda	gas	two	rwd	two	101	17	23	13645
mazda	gas	two	rwd	two	135	16	23	15645
mazda	gas	two	fwd	four	84	26	32	8845
mazda	gas	four	fwd	four	84	26	32	8495
mazda	gas	two	fwd	four	84	26	32	10595
mazda	gas	four	fwd	four	84	26	32	10245
