"Date","week.number","Species","Type","Alive","Latitude","Longitude"
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.2313,-87.936861
"2010-05-02",18,"Lepidochelys kempii","turtles","N",30.250125,-88.075553
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.248253,-88.125822
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.26888,-88.07172
"2010-05-03",19,"Lepidochelys kempii","turtles","N",30.332274,-88.132595
"2010-05-04",19,"Lepidochelys kempii","turtles","N",30.2481,-88.1261
"2010-05-04",19,"Lepidochelys kempii","turtles","N",30.395431,-88.107261
"2010-05-04",19,"Lepidochelys kempii","turtles","N",30.5401,-88.0814
"2010-05-05",19,"Lepidochelys kempii","turtles","N",30.368167,-88.278317
"2010-05-05",19,"Lepidochelys kempii","turtles","N",30.445639,-88.109028
"2010-05-06",19,"Lepidochelys kempii","turtles","N",30.250164,-88.162886
"2010-05-06",19,"Lepidochelys kempii","turtles","N",30.249856,-88.2021
"2010-05-07",19,"Lepidochelys kempii","turtles","N",30.367914,-87.839833
"2010-05-07",19,"Lepidochelys kempii","turtles","N",30.492133,-87.929833
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.24945,-88.172633
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.253417,-87.823317
"2010-05-10",20,"Lepidochelys kempii","turtles","N",30.381033,-88.267233
"2010-05-11",20,"Lepidochelys kempii","turtles","N",30.230283,-88.023694
"2010-05-13",20,"Lepidochelys kempii","turtles","N",30.25057,-87.82896
"2010-05-13",20,"Caretta caretta","turtles","N",30.22843,-87.86139
"2010-05-13",20,"Chelonia mydas","turtles","N",30.23116,-87.92899
"2010-05-13",20,"Lepidochelys kempii","turtles","N",30.24561,-88.12423
"2010-05-13",20,"Lepidochelys kempii","turtles","N",30.3709,-88.10967
"2010-05-14",20,"Lepidochelys kempii","turtles","N",30.247186,-88.125303
"2010-05-16",20,"Chelonia mydas","turtles","N",30.27427,-88.11115
"2010-05-17",21,"Lepidochelys kempii","turtles","N",30.24383,-88.09289
"2010-05-18",21,"Lepidochelys kempii","turtles","N",30.227653,-88.113175
"2010-05-18",21,"Lepidochelys kempii","turtles","N",30.377883,-88.241517
"2010-05-18",21,"Lepidochelys kempii","turtles","N",30.425728,-88.103975
"2010-05-18",21,"Lepidochelys kempii","turtles","N",30.37832,-87.85102
"2010-05-19",21,"Lepidochelys kempii","turtles","N",30.2476,-88.12448
"2010-05-19",21,"Lepidochelys kempii","turtles","Y",30.375,-88.285
"2010-05-20",21,"Lepidochelys kempii","turtles","N",30.23184,-88.33659
"2010-05-20",21,"Lepidochelys kempii","turtles","N",30.23194,-88.33659
"2010-05-20",21,"Lepidochelys kempii","turtles","N",30.3763,-88.24042
"2010-05-21",21,"Lepidochelys kempii","turtles","N",30.244817,-88.114433
"2010-05-22",21,"Lepidochelys kempii","turtles","Y",30.381586,-88.257839
"2010-05-22",21,"Lepidochelys kempii","turtles","N",30.37675,-88.25848
"2010-05-22",21,"Lepidochelys kempii","turtles","N",30.591497,-88.063306
"2010-05-23",21,"Lepidochelys kempii","turtles","N",30.35887,-87.83267
"2010-05-23",21,"Lepidochelys kempii","turtles","N",30.2827,-87.75123
"2010-05-24",22,"Lepidochelys kempii","turtles","N",30.2573,-88.1462
"2010-05-24",22,"Lepidochelys kempii","turtles","N",30.24507,-88.08815
"2010-05-24",22,"Lepidochelys kempii","turtles","N",30.44495,-88.11424
"2010-05-24",22,"Lepidochelys kempii","turtles","N",30.41885,-88.09638
"2010-05-26",22,"Lepidochelys kempii","turtles","N",30.41673,-88.10479
"2010-05-27",22,"Lepidochelys kempii","turtles","N",30.25057,-88.20267
"2010-05-27",22,"Lepidochelys kempii","turtles","N",30.23557,-88.27688
"2010-05-28",22,"Lepidochelys kempii","turtles","N",30.4923,-88.0519
"2010-05-29",22,"Lepidochelys kempii","turtles","N",30.35415,-88.23312
"2010-06-03",23,"Caretta caretta","turtles","Y",30.2775,-87.5537
"2010-06-04",23,"Lepidochelys kempii","turtles","N",30.35898,-88.20843
"2010-06-05",23,"Eretmochelys imbricata","turtles","Y",30.248301,-87.676815
"2010-06-08",24,"Caretta caretta","turtles","N",30.23565,-88.26442
"2010-06-06",23,"Lepidochelys kempii","turtles","N",30.37043,-88.25507
"2010-06-11",24,"Caretta caretta","turtles","N",30.25106,-87.65367
"2010-06-13",24,"Lepidochelys kempii","turtles","N",30.36646,-88.24433
"2010-06-13",24,"Lepidochelys kempii","turtles","N",30.52578,-87.91704
"2010-06-16",25,"Caretta caretta","turtles","N",30.25365,-87.64212
"2010-06-18",25,"Lepidochelys kempii","turtles","N",30.52215,-88.06168
"2010-06-19",25,"Lepidochelys kempii","turtles","N",30.26724,-87.78724
"2010-06-19",25,"Lepidochelys kempii","turtles","N",30.28043,-87.76678
"2010-06-20",25,"Lepidochelys kempii","turtles","N",30.37177,-88.06541
"2010-06-20",25,"Lepidochelys kempii","turtles","N",30.332983,-88.1304
"2010-06-21",26,"Lepidochelys kempii","turtles","N",30.53176,-88.0229
"2010-06-21",26,"Lepidochelys kempii","turtles","N",30.29802,-87.99772
"2010-06-23",26,"Lepidochelys kempii","turtles","N",30.6085,-88.0556
"2010-06-24",26,"Lepidochelys kempii","turtles","N",30.3228,-87.51488
"2010-06-25",26,"Lepidochelys kempii","turtles","N",30.25917,-87.86152
"2010-06-26",26,"Lepidochelys kempii","turtles","N",30.370583,-88.2809
"2010-06-26",26,"Lepidochelys kempii","turtles","N",30.290183,-88.208166
"2010-06-26",26,"Lepidochelys kempii","turtles","N",30.27595,-87.76513
"2010-06-27",26,"Unknown","turtles","N",30.49744,-88.04932
"2010-06-27",26,"Lepidochelys kempii","turtles","N",30.50712,-88.0789
"2010-06-30",27,"Chelonia mydas","turtles","Y",30.2403,-88.12395
"2010-07-02",27,"Lepidochelys kempii","turtles","N",30.2255,-88.1089
"2010-07-02",27,"Lepidochelys kempii","turtles","Y",30.105,-88.04166
"2010-07-05",28,"Chelonia mydas","turtles","N",30.29965,-87.4859
"2010-07-09",28,"Lepidochelys kempii","turtles","Y",30.23985,-88.32628
"2010-07-10",28,"Lepidochelys kempii","turtles","N",30.59365,-88.0398
"2010-07-11",28,"Lepidochelys kempii","turtles","N",30.27726,-87.76435
"2010-07-11",28,"Lepidochelys kempii","turtles","N",30.2849,-87.7642
"2010-07-14",29,"Lepidochelys kempii","turtles","N",30.48597,-88.01768
"2010-07-15",29,"Unknown","turtles","N",30.28118,-87.75023
"2010-07-16",29,"Lepidochelys kempii","turtles","N",30.28468,-87.81596
"2010-07-19",30,"Lepidochelys kempii","turtles","N",30.268916,-87.868466
"2010-07-19",30,"Lepidochelys kempii","turtles","N",30.28768,-88.30526
"2010-07-20",30,"Lepidochelys kempii","turtles","N",30.49486,-88.07144
"2010-07-22",30,"Lepidochelys kempii","turtles","N",30.477166,-88.098506
"2010-07-22",30,"Caretta caretta","turtles","N",30.23022,-87.90641
"2010-07-27",31,"Lepidochelys kempii","turtles","N",30.266116,-87.907716
"2010-07-28",31,"Lepidochelys kempii","turtles","N",30.268316,-87.78671
"2010-07-29",31,"Lepidochelys kempii","turtles","N",30.27134,-88.10646
"2010-07-31",31,"Lepidochelys kempii","turtles","N",30.47674,-88.09686
"2010-07-31",31,"Lepidochelys kempii","turtles","N",30.306031,-87.460682
"2010-08-03",32,"Lepidochelys kempii","turtles","N",30.30233,-87.58668
"2010-08-03",32,"Lepidochelys kempii","turtles","Y",30.2457,-88.07559
"2010-08-04",32,"Caretta caretta","turtles","Y",29.98667,-88.225
"2010-08-05",32,"Lepidochelys kempii","turtles","N",30.281466,-87.786766
"2010-08-06",32,"Lepidochelys kempii","turtles","Y",30.24632,-87.66694
"2010-08-06",32,"Unknown","turtles","N",30.513116,-88.0482
"2010-08-07",32,"Unknown","turtles","N",30.5203,-88.042
"2010-08-07",32,"Unknown","turtles","N",30.52217,-88.03567
"2010-08-09",33,"Caretta caretta","turtles","N",30.27283,-87.54787
"2010-08-09",33,"Lepidochelys kempii","turtles","N",30.4685,-88.0555
"2010-08-09",33,"Lepidochelys kempii","turtles","N",30.26768,-87.7916
"2010-08-12",33,"Lepidochelys kempii","turtles","N",30.25025,-88.16543
"2010-08-15",33,"Lepidochelys kempii","turtles","N",30.23184,-88.01803
"2010-08-17",34,"Lepidochelys kempii","turtles","N",30.390136,-87.875074
"2010-08-18",34,"Lepidochelys kempii","turtles","Y",30.381329,-88.270996
"2010-08-19",34,"Lepidochelys kempii","turtles","N",30.6543,-88.0137
"2010-08-19",34,"Lepidochelys kempii","turtles","N",30.24638,-87.96048
"2010-08-20",34,"Lepidochelys kempii","turtles","N",30.50505,-88.0526
"2010-08-22",34,"Unknown","turtles","N",30.50335,-88.02099
"2010-08-24",35,"Lepidochelys kempii","turtles","N",30.4822,-88.034
"2010-08-25",35,"Lepidochelys kempii","turtles","N",30.26065,-87.78706
"2010-08-28",35,"Lepidochelys kempii","turtles","Y",30.25059,-88.14422
"2010-08-28",35,"Lepidochelys kempii","turtles","N",30.23123,-88.29169
"2010-08-31",36,"Caretta caretta","turtles","N",30.253367,-87.645433
"2010-09-01",36,"Lepidochelys kempii","turtles","N",30.22383,-88.106214
"2010-09-07",37,"Chelonia mydas","turtles","N",30.265671,-87.595091
"2010-09-10",37,"Chelonia mydas","turtles","N",30.283527,-87.536581
"2010-09-10",37,"Lepidochelys kempii","turtles","N",30.32592,-88.30311
"2010-05-08",19,"Caretta caretta","turtles","N",30.2442,-85.93718
"2010-05-08",19,"Caretta caretta","turtles","Y",30.1965,-85.84358
"2010-05-08",19,"Lepidochelys kempii","turtles","N",30.16782,-85.794
"2010-05-10",20,"Caretta caretta","turtles","N",30.2148,-85.87758
"2010-05-11",20,"Chelonia mydas","turtles","N",30.32588,-87.1721
"2010-05-12",20,"Caretta caretta","turtles","N",29.77851,-85.40833
"2010-05-13",20,"Caretta caretta","turtles","N",30.28801,-87.47814
"2010-05-14",20,"Caretta caretta","turtles","Y",30.2724,-86.00381
"2010-05-14",20,"Lepidochelys kempii","turtles","N",30.36423,-87.12724
"2010-05-15",20,"Caretta caretta","turtles","N",30.08165,-85.62992
"2010-05-17",21,"Chelonia mydas","turtles","N",30.1892,-85.83112
"2010-05-17",21,"Lepidochelys kempii","turtles","N",30.3035,-87.39394
"2010-05-17",21,"Caretta caretta","turtles","N",30.3549,-87.0142
"2010-05-17",21,"Chelonia mydas","turtles","N",30.372,-86.3487
"2010-05-18",21,"Caretta caretta","turtles","N",29.9568,-85.4738
"2010-05-18",21,"Caretta caretta","turtles","N",30.02786,-85.56911
"2010-05-18",21,"Caretta caretta","turtles","N",30.3398,-86.21
"2010-05-19",21,"Caretta caretta","turtles","N",30.26268,-85.97958
"2010-05-19",21,"Lepidochelys kempii","turtles","N",30.1425,-85.6492
