type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-12-03 20:32:25,47.50596211,8.76117658,4.50,504.000,,0.210,0,28,31,20231203-213225,GPS Logger: 20231203-213225
T,2023-12-03 20:32:26,47.50592787,8.76118094,3.50,508.000,,0.220,0,30,32,,
T,2023-12-03 20:32:27,47.50593642,8.76119980,3.00,505.000,,0.860,0,30,33,,
T,2023-12-03 20:32:28,47.50593508,8.76120969,2.50,505.000,,1.350,0,30,33,,
T,2023-12-03 20:32:29,47.50592644,8.76121589,2.50,504.000,,1.340,0,30,33,,
T,2023-12-03 20:32:30,47.50591781,8.76123366,2.50,503.000,,1.460,0,30,33,,
T,2023-12-03 20:32:31,47.50590448,8.76125772,2.50,504.000,,2.860,131,29,33,,
T,2023-12-03 20:32:32,47.50588516,8.76129418,3.00,505.000,,3.030,123,30,33,,
T,2023-12-03 20:32:33,47.50586928,8.76132879,3.00,505.000,,1.970,123,30,33,,
T,2023-12-03 20:32:34,47.50586081,8.76136073,2.50,504.000,,1.720,123,30,33,,
T,2023-12-03 20:32:35,47.50585604,8.76139015,2.50,503.000,,1.700,114,29,32,,
T,2023-12-03 20:32:36,47.50585222,8.76142535,3.00,502.000,,0.580,107,30,33,,
T,2023-12-03 20:32:37,47.50584824,8.76144547,2.50,501.000,,0.960,98,31,33,,
T,2023-12-03 20:32:38,47.50584250,8.76147816,2.50,498.000,,1.710,99,29,33,,
T,2023-12-03 20:32:39,47.50583030,8.76150255,2.50,496.000,,2.140,107,30,33,,
T,2023-12-03 20:32:40,47.50581886,8.76154396,2.50,494.000,,1.750,101,27,33,,
T,2023-12-03 20:32:41,47.50580868,8.76157095,3.00,492.000,,1.180,101,28,33,,
T,2023-12-03 20:32:42,47.50579812,8.76160515,3.00,492.000,,0.960,100,26,33,,
T,2023-12-03 20:32:43,47.50579644,8.76163188,2.50,492.000,,0.900,100,28,33,,
T,2023-12-03 20:32:44,47.50579577,8.76165166,3.00,491.000,,0.640,97,28,33,,
T,2023-12-03 20:32:45,47.50579895,8.76167731,2.50,488.000,,0.810,79,27,32,,
T,2023-12-03 20:32:46,47.50579803,8.76170866,2.50,487.000,,1.460,79,29,33,,
T,2023-12-03 20:32:47,47.50579786,8.76173699,2.50,485.000,,0.710,81,29,33,,
T,2023-12-03 20:32:48,47.50579313,8.76177287,2.50,484.000,,1.320,106,29,32,,
T,2023-12-03 20:32:49,47.50578500,8.76180363,2.50,483.000,,1.160,116,29,32,,
T,2023-12-03 20:32:50,47.50577846,8.76183079,3.00,481.000,,1.150,124,30,31,,
T,2023-12-03 20:32:51,47.50576874,8.76185702,2.50,481.000,,0.950,133,31,32,,
T,2023-12-03 20:32:52,47.50575818,8.76188334,3.00,480.000,,1.330,127,31,32,,
T,2023-12-03 20:32:53,47.50574615,8.76192064,3.00,479.000,,1.590,137,31,32,,
T,2023-12-03 20:32:54,47.50573684,8.76194562,2.50,479.000,,0.980,138,30,32,,
T,2023-12-03 20:32:55,47.50573223,8.76197579,2.50,479.000,,0.260,142,31,32,,
T,2023-12-03 20:32:56,47.50572612,8.76199658,2.50,480.000,,0.380,146,28,32,,
T,2023-12-03 20:32:57,47.50572176,8.76199239,3.50,480.000,,0.700,189,20,32,,
T,2023-12-03 20:32:58,47.50571518,8.76200530,4.00,480.000,,0.180,203,26,32,,
T,2023-12-03 20:32:59,47.50571237,8.76201955,3.50,481.000,,0.410,203,27,32,,
T,2023-12-03 20:33:00,47.50570830,8.76205081,3.00,481.000,,1.370,117,30,32,,
T,2023-12-03 20:33:01,47.50570181,8.76208434,2.50,482.000,,1.430,107,30,32,,
T,2023-12-03 20:33:02,47.50569623,8.76212860,2.50,482.000,,2.420,103,31,32,,
T,2023-12-03 20:33:03,47.50569297,8.76217537,2.50,483.000,,2.110,93,30,32,,
T,2023-12-03 20:33:04,47.50568664,8.76222256,2.50,483.000,,1.730,76,30,32,,
T,2023-12-03 20:33:05,47.50569146,8.76225910,2.50,484.000,,1.590,67,30,32,,
T,2023-12-03 20:33:06,47.50568928,8.76229783,2.50,484.000,,1.540,52,31,32,,
T,2023-12-03 20:33:07,47.50569787,8.76233622,2.50,485.000,,1.390,55,31,32,,
T,2023-12-03 20:33:08,47.50570290,8.76236530,2.50,485.000,,1.860,54,30,32,,
T,2023-12-03 20:33:09,47.50571296,8.76239967,2.50,485.000,,2.000,51,30,32,,
T,2023-12-03 20:33:10,47.50572050,8.76243621,2.50,485.000,,1.780,50,31,32,,
T,2023-12-03 20:33:11,47.50572457,8.76247334,2.50,486.000,,1.660,53,30,32,,
T,2023-12-03 20:33:12,47.50573123,8.76250846,2.50,485.000,,1.750,58,27,32,,
T,2023-12-03 20:33:13,47.50573437,8.76254777,2.50,485.000,,2.260,66,27,32,,
T,2023-12-03 20:33:14,47.50573710,8.76259354,2.50,484.000,,1.760,69,29,32,,
T,2023-12-03 20:33:15,47.50574259,8.76263821,2.50,484.000,,2.220,70,30,32,,
T,2023-12-03 20:33:16,47.50574820,8.76268130,2.50,483.000,,2.310,67,30,32,,
T,2023-12-03 20:33:17,47.50575864,8.76272480,2.50,482.000,,2.380,64,29,32,,
T,2023-12-03 20:33:18,47.50576295,8.76276922,2.50,482.000,,2.570,80,29,32,,
T,2023-12-03 20:33:19,47.50575684,8.76281809,3.00,481.000,,2.780,102,29,32,,
T,2023-12-03 20:33:20,47.50574422,8.76286520,2.50,481.000,,2.890,119,29,32,,
T,2023-12-03 20:33:21,47.50573257,8.76291348,2.50,481.000,,2.730,125,30,32,,
T,2023-12-03 20:33:22,47.50572188,8.76295379,2.50,481.000,,2.380,122,30,32,,
T,2023-12-03 20:33:23,47.50571547,8.76299822,3.00,481.000,,2.170,108,30,32,,
T,2023-12-03 20:33:24,47.50571279,8.76304130,2.50,481.000,,1.810,99,29,32,,
T,2023-12-03 20:33:25,47.50571325,8.76308464,2.50,482.000,,1.930,93,30,32,,
T,2023-12-03 20:33:26,47.50571635,8.76312713,2.50,481.000,,2.360,79,29,32,,
T,2023-12-03 20:33:27,47.50571694,8.76317784,2.50,481.000,,2.560,78,29,32,,
T,2023-12-03 20:33:28,47.50572251,8.76322051,2.50,481.000,,2.550,73,30,32,,
T,2023-12-03 20:33:29,47.50572880,8.76326258,2.50,480.000,,2.580,68,30,32,,
T,2023-12-03 20:33:30,47.50573806,8.76330634,2.50,480.000,,2.390,67,29,32,,
T,2023-12-03 20:33:31,47.50574502,8.76335621,2.50,480.000,,2.470,64,29,32,,
T,2023-12-03 20:33:32,47.50575210,8.76340373,2.50,479.000,,2.600,67,30,32,,
T,2023-12-03 20:33:33,47.50575629,8.76345319,2.50,479.000,,3.320,76,30,32,,
T,2023-12-03 20:33:34,47.50576337,8.76350566,2.50,479.000,,2.600,74,30,32,,
T,2023-12-03 20:33:35,47.50576991,8.76354815,2.50,479.000,,2.560,71,29,32,,
T,2023-12-03 20:33:36,47.50577364,8.76359040,2.50,479.000,,2.520,74,29,32,,
T,2023-12-03 20:33:37,47.50577783,8.76363197,2.50,479.000,,2.370,79,29,32,,
T,2023-12-03 20:33:38,47.50577603,8.76367765,2.50,479.000,,2.520,92,30,32,,
T,2023-12-03 20:33:39,47.50576585,8.76372451,2.50,479.000,,3.250,104,30,32,,
T,2023-12-03 20:33:40,47.50575868,8.76377790,2.50,479.000,,3.150,107,31,32,,
T,2023-12-03 20:33:41,47.50575172,8.76382207,2.50,479.000,,3.130,108,30,32,,
T,2023-12-03 20:33:42,47.50574523,8.76386918,2.50,480.000,,3.240,101,30,32,,
T,2023-12-03 20:33:43,47.50574125,8.76391092,2.50,480.000,,2.720,97,30,32,,
T,2023-12-03 20:33:44,47.50573676,8.76395501,2.50,480.000,,2.460,93,31,32,,
T,2023-12-03 20:33:45,47.50573161,8.76399558,2.50,481.000,,2.210,91,31,32,,
T,2023-12-03 20:33:46,47.50573249,8.76404143,2.50,480.000,,2.120,90,31,32,,
T,2023-12-03 20:33:47,47.50573211,8.76407739,2.50,480.000,,2.120,86,29,32,,
T,2023-12-03 20:33:48,47.50573651,8.76411586,2.50,480.000,,1.920,81,30,32,,
T,2023-12-03 20:33:49,47.50574162,8.76415517,2.50,480.000,,2.110,82,29,32,,
T,2023-12-03 20:33:50,47.50574774,8.76419197,3.00,480.000,,1.950,78,29,32,,
T,2023-12-03 20:33:51,47.50575315,8.76423044,3.00,480.000,,1.800,78,29,32,,
T,2023-12-03 20:33:52,47.50575897,8.76426430,2.50,480.000,,1.690,74,28,32,,
T,2023-12-03 20:33:53,47.50576220,8.76430009,2.50,480.000,,1.800,70,29,32,,
T,2023-12-03 20:33:54,47.50576849,8.76433589,2.50,480.000,,1.790,69,28,32,,
T,2023-12-03 20:33:55,47.50577607,8.76437411,2.50,479.000,,1.970,70,28,32,,
T,2023-12-03 20:33:56,47.50578236,8.76440839,2.50,478.000,,1.710,72,28,32,,
T,2023-12-03 20:33:57,47.50578873,8.76444167,2.50,478.000,,1.530,79,29,31,,
T,2023-12-03 20:33:58,47.50579246,8.76447301,2.50,477.000,,1.600,78,29,31,,
T,2023-12-03 20:33:59,47.50579778,8.76450654,3.00,477.000,,1.350,77,30,31,,
T,2023-12-03 20:34:00,47.50580465,8.76453831,3.00,476.000,,1.300,73,29,31,,
T,2023-12-03 20:34:01,47.50581258,8.76456706,3.00,475.000,,1.310,69,29,31,,
