id,customer,article,date,price
1,628,Whiskey,2021-01-14 23:00:02,4.03
2,298,Coke,2021-12-29 03:51:24,2.14
3,908,Whiskey,2021-11-06 01:40:58,3.67
4,325,Gin,2021-05-24 05:51:52,4.46
5,242,Tonic,2021-05-17 04:21:13,4.58
6,469,Tonic,2021-09-03 04:35:41,3.65
7,89,Tonic,2021-11-28 10:43:39,3.01
8,619,Chips,2021-03-13 00:14:40,1.58
9,683,Popcorn,2021-01-07 01:46:29,2.7
10,342,Gin,2021-11-11 11:42:59,1.07
11,246,Beer,2021-12-16 19:53:48,4.93
12,512,Beer,2021-02-04 21:18:28,1.73
13,93,Burger,2021-05-30 20:55:38,5.06
14,162,Burger,2021-11-14 04:15:20,4.14
15,285,Popcorn,2021-02-15 12:12:04,1.94
16,668,Fries,2021-03-14 17:09:02,4.71
17,339,Popcorn,2021-11-25 10:25:58,2.21
18,137,Beer,2021-10-23 15:48:21,3.77
19,302,Nachos,2021-07-01 09:45:18,2.74
20,819,Pizza,2021-03-25 12:39:13,4.14
21,579,Guacamole,2021-12-05 16:20:48,1.77
22,287,Burger,2021-03-26 03:35:15,1.97
23,821,Beer,2021-08-20 19:18:27,2.54
24,171,Whiskey,2021-06-29 22:20:12,4.27
25,14,Nachos,2021-05-03 14:52:15,1.22
26,944,Fries,2021-12-04 07:19:36,2.09
27,917,Popcorn,2021-02-05 12:01:56,4.92
28,285,Fries,2021-09-02 04:05:29,2.1
29,886,Tonic,2021-01-20 17:25:35,3.34
30,693,Coke,2021-11-28 15:21:18,4.1
31,986,Pizza,2021-10-02 14:29:09,4.32
32,302,Popcorn,2021-06-07 18:59:24,0.77
33,901,Fries,2021-12-09 02:48:26,3.54
34,62,Gin,2021-05-14 06:21:28,0.98
35,343,Fries,2021-05-04 07:53:39,3.65
36,556,Chips,2021-04-19 01:19:29,2.34
37,701,Coke,2021-03-30 11:01:04,2.34
38,689,Chips,2021-05-02 09:47:58,4.63
39,791,Guacamole,2021-07-25 18:59:26,5.36
40,966,Nachos,2021-09-05 01:48:22,0.67
41,188,Nachos,2021-07-01 23:42:35,2.42
42,5,Pizza,2021-05-17 17:39:48,1.24
43,739,Nachos,2021-09-25 05:53:49,3.94
44,395,Burger,2021-09-30 21:33:15,3.28
45,936,Tonic,2021-08-02 21:58:23,3.04
46,321,Gin,2021-12-14 10:06:44,1.93
47,914,Burger,2021-12-19 00:32:15,2.98
48,473,Chips,2021-02-25 19:00:37,4.87
49,394,Nachos,2021-09-25 11:33:06,0.55
50,68,Burger,2021-03-11 00:54:49,1.3
51,257,Nachos,2021-10-15 21:09:13,4.73
52,786,Burger,2021-05-30 08:01:20,4.43
53,45,Whiskey,2021-07-29 04:55:33,1.07
54,345,Burger,2021-03-10 00:49:25,3.13
55,312,Chips,2021-06-22 10:22:48,0.8
56,261,Nachos,2021-02-24 19:03:46,4.56
57,926,Fries,2021-04-08 19:01:31,4.4
58,76,Gin,2021-09-01 15:37:15,4.79
59,129,Beer,2021-06-30 04:26:53,3.75
60,343,Gin,2021-10-21 10:53:41,2.15
61,115,Beer,2021-05-12 22:42:04,2.13
62,599,Beer,2021-10-20 01:32:01,0.75
63,908,Tonic,2021-10-26 17:09:17,2.4
64,484,Guacamole,2021-01-20 21:18:45,2.91
65,564,Beer,2021-11-09 22:06:53,2.78
66,709,Burger,2021-07-10 01:24:04,4.18
67,933,Beer,2021-09-26 23:50:56,4.02
68,923,Nachos,2021-09-07 01:08:32,4.32
69,981,Chips,2021-06-17 08:49:27,0.95
70,723,Coke,2021-10-06 01:11:06,2.39
71,503,Beer,2021-07-14 01:15:01,4.32
72,26,Gin,2021-06-08 04:13:33,5.19
73,109,Whiskey,2021-07-22 10:39:16,5.32
74,6,Chips,2021-08-25 13:20:22,4.48
75,835,Pizza,2021-12-12 02:58:48,1.64
76,368,Pizza,2021-06-29 21:13:55,3.88
77,336,Burger,2021-03-04 13:13:01,1.73
78,578,Coke,2021-07-20 09:28:40,1.52
79,844,Popcorn,2021-11-15 13:46:13,1.5
80,505,Chips,2021-09-06 09:08:14,5.24
81,908,Gin,2021-01-09 14:36:41,3.46
82,95,Guacamole,2021-02-23 16:15:08,1.8
83,344,Popcorn,2021-02-21 18:25:57,0.66
84,539,Whiskey,2021-03-02 17:43:12,1.8
85,124,Tonic,2021-03-12 12:02:46,1.07
86,898,Nachos,2021-08-13 00:52:20,3.37
87,521,Burger,2021-05-05 10:00:00,2.93
88,551,Burger,2021-07-26 08:58:54,4.23
89,576,Guacamole,2021-12-24 00:23:44,2.46
90,167,Gin,2021-07-12 16:02:57,3.06
91,960,Chips,2021-08-25 21:00:41,1.99
92,645,Popcorn,2021-09-09 02:08:46,1.94
93,923,Guacamole,2021-04-25 02:56:09,3.13
94,729,Burger,2021-02-05 16:14:46,5.12
95,120,Burger,2021-10-23 06:01:26,1.38
96,626,Tonic,2021-11-22 13:11:25,1.12
97,158,Gin,2021-01-22 23:09:13,0.9
98,902,Guacamole,2021-06-16 19:18:15,4.82
99,103,Popcorn,2021-04-20 08:15:01,5.3
100,59,Fries,2021-12-31 00:49:14,4.72
101,182,Pizza,2021-03-04 08:26:19,3.35
102,555,Gin,2021-11-19 15:56:48,4.42
103,923,Guacamole,2021-04-04 17:16:04,5.31
104,680,Pizza,2021-01-02 20:57:09,1.83
105,862,Pizza,2021-04-04 19:44:06,3.29
106,366,Tonic,2021-12-17 04:40:50,0.63
107,785,Coke,2021-06-24 23:35:46,2.7
108,189,Fries,2021-11-30 06:24:38,3.54
109,933,Guacamole,2021-08-31 22:17:38,3.16
110,488,Beer,2021-03-16 05:45:48,4.6
111,600,Guacamole,2021-11-12 13:20:32,0.72
112,985,Whiskey,2021-10-26 20:01:46,5.25
113,195,Beer,2021-08-11 06:21:04,5.48
114,948,Beer,2021-03-28 21:12:01,2.46
115,235,Chips,2021-07-22 11:54:52,2.79
116,998,Beer,2021-08-13 22:09:26,5.34
117,286,Popcorn,2021-08-05 22:15:00,4.21
118,536,Gin,2021-09-30 03:20:54,5.23
119,442,Gin,2021-12-22 00:13:23,1.37
120,149,Coke,2021-07-04 11:10:08,1.7
121,425,Beer,2021-07-03 13:32:56,3.71
122,958,Chips,2021-07-06 22:56:28,2.89
123,143,Pizza,2021-05-29 10:38:03,4.09
124,100,Pizza,2021-10-03 02:30:37,4.99
125,953,Coke,2021-07-24 06:49:07,1.96
126,487,Chips,2021-01-31 18:47:53,4.8
