orderID,activity,endtime,starttime,resource
C1,place order,2015-01-05 09:02:50+00:00,2015-01-05 09:00:07+00:00,HLJOP
C2,place order,2015-01-05 10:54:11+00:00,2015-01-05 10:18:21+00:00,EXXRY
C3,place order,2015-01-05 12:06:56+00:00,2015-01-05 11:54:49+00:00,FGXWW
C4,place order,2015-01-05 14:16:11+00:00,2015-01-05 14:07:45+00:00,EMEYV
C5,place order,2015-01-05 15:44:36+00:00,2015-01-05 15:33:38+00:00,UYDRD
C6,place order,2015-01-05 22:08:57+00:00,2015-01-05 17:25:23+00:00,HLJOP
C7,place order,2015-01-05 20:00:07+00:00,2015-01-05 19:08:53+00:00,VXRUO
C8,place order,2015-01-05 22:05:05+00:00,2015-01-05 21:54:00+00:00,EMEYV
C9,place order,2015-01-06 07:42:59+00:00,2015-01-06 07:25:13+00:00,EMEYV
C10,place order,2015-01-06 10:16:52+00:00,2015-01-06 10:09:51+00:00,SMSNY
C11,place order,2015-01-06 11:50:02+00:00,2015-01-06 11:37:49+00:00,UYDRD
C12,place order,2015-01-06 13:46:45+00:00,2015-01-06 13:33:45+00:00,RLTSN
C9,send invoice,2015-01-06 15:26:00+00:00,2015-01-06 15:20:14+00:00,LYVGB
C13,place order,2015-01-06 15:44:50+00:00,2015-01-06 15:25:38+00:00,FWWWF
C5,send invoice,2015-01-06 16:01:06+00:00,2015-01-06 15:54:13+00:00,UTBDH
C14,place order,2015-01-06 17:16:47+00:00,2015-01-06 17:09:23+00:00,LYVGB
C11,send invoice,2015-01-06 17:44:13+00:00,2015-01-06 17:36:04+00:00,VNOHU
C15,place order,2015-01-06 18:40:41+00:00,2015-01-06 18:36:53+00:00,FWWWF
C8,send invoice,2015-01-06 19:49:11+00:00,2015-01-06 19:45:44+00:00,FWWWF
C16,place order,2015-01-06 21:38:39+00:00,2015-01-06 21:26:54+00:00,DTZWY
C17,place order,2015-01-07 05:28:42+00:00,2015-01-07 04:42:36+00:00,KYICA
C1,send invoice,2015-01-07 09:28:55+00:00,2015-01-07 09:21:32+00:00,RCEUC
C18,place order,2015-01-07 10:23:18+00:00,2015-01-07 10:10:58+00:00,FGXWW
C19,place order,2015-01-07 12:16:09+00:00,2015-01-07 11:40:04+00:00,FGXWW
C7,send invoice,2015-01-07 12:03:55+00:00,2015-01-07 11:59:50+00:00,VXRUO
C2,send invoice,2015-01-07 13:16:07+00:00,2015-01-07 12:51:54+00:00,FWWWF
C20,place order,2015-01-07 13:43:28+00:00,2015-01-07 13:38:15+00:00,EXXRY
C3,send invoice,2015-01-07 14:18:04+00:00,2015-01-07 14:09:32+00:00,RLTSN
C21,place order,2015-01-07 19:02:58+00:00,2015-01-07 15:34:37+00:00,RWVYG
C12,send invoice,2015-01-07 16:37:38+00:00,2015-01-07 16:31:52+00:00,VXRUO
C22,place order,2015-01-07 21:06:22+00:00,2015-01-07 17:27:21+00:00,HLJOP
C6,send invoice,2015-01-07 19:12:08+00:00,2015-01-07 19:07:02+00:00,KXHUV
C23,place order,2015-01-07 19:16:19+00:00,2015-01-07 19:12:50+00:00,HLJOP
C24,place order,2015-01-07 22:10:38+00:00,2015-01-07 22:01:54+00:00,EQRLD
C25,place order,2015-01-08 07:18:57+00:00,2015-01-08 07:12:36+00:00,SMSNY
C26,place order,2015-01-08 10:02:09+00:00,2015-01-08 09:55:59+00:00,ZBEXO
C14,send invoice,2015-01-08 10:48:13+00:00,2015-01-08 10:41:54+00:00,EQRLD
C13,send invoice,2015-01-08 10:49:28+00:00,2015-01-08 10:47:26+00:00,KXHUV
C27,place order,2015-01-08 12:14:59+00:00,2015-01-08 12:10:05+00:00,LYVGB
C28,place order,2015-01-08 13:41:42+00:00,2015-01-08 13:38:17+00:00,EXXRY
C16,send invoice,2015-01-08 14:16:34+00:00,2015-01-08 14:12:34+00:00,FGXWW
C20,send invoice,2015-01-08 15:04:15+00:00,2015-01-08 14:39:28+00:00,HLJOP
C4,send invoice,2015-01-08 15:20:51+00:00,2015-01-08 15:16:14+00:00,FWWWF
C29,place order,2015-01-08 15:41:25+00:00,2015-01-08 15:34:42+00:00,UYDRD
C28,send invoice,2015-01-08 16:38:34+00:00,2015-01-08 16:34:16+00:00,FGXWW
C30,place order,2015-01-08 17:40:42+00:00,2015-01-08 17:27:31+00:00,RLTSN
C31,place order,2015-01-08 23:06:43+00:00,2015-01-08 19:13:09+00:00,ZBEXO
C32,place order,2015-01-08 22:10:31+00:00,2015-01-08 22:02:32+00:00,DTZWY
C33,place order,2015-01-09 07:24:05+00:00,2015-01-09 07:16:25+00:00,SMSNY
C34,place order,2015-01-09 10:14:51+00:00,2015-01-09 10:00:10+00:00,EQRLD
C26,send invoice,2015-01-09 10:38:30+00:00,2015-01-09 10:31:41+00:00,UYDRD
C35,place order,2015-01-09 12:02:40+00:00,2015-01-09 11:18:27+00:00,SMSNY
C25,send invoice,2015-01-09 11:46:36+00:00,2015-01-09 11:19:13+00:00,LYVGB
C36,place order,2015-01-09 17:42:42+00:00,2015-01-09 12:55:02+00:00,UTBDH
C15,send invoice,2015-01-09 14:50:01+00:00,2015-01-09 14:41:57+00:00,KYICA
C37,place order,2015-01-09 15:16:40+00:00,2015-01-09 15:08:11+00:00,SMSNY
C10,send invoice,2015-01-09 15:49:45+00:00,2015-01-09 15:43:21+00:00,EQRLD
C23,send invoice,2015-01-09 15:58:38+00:00,2015-01-09 15:52:57+00:00,FWWWF
C38,place order,2015-01-09 16:39:15+00:00,2015-01-09 16:34:29+00:00,LYVGB
C19,send invoice,2015-01-09 17:06:54+00:00,2015-01-09 16:59:22+00:00,KYICA
C39,place order,2015-01-09 18:34:17+00:00,2015-01-09 18:27:05+00:00,SMSNY
C40,place order,2015-01-09 21:03:09+00:00,2015-01-09 20:57:30+00:00,ZBEXO
C37,send invoice,2015-01-09 22:00:51+00:00,2015-01-09 21:53:25+00:00,RCEUC
C41,place order,2015-01-10 10:31:07+00:00,2015-01-10 10:28:12+00:00,FGXWW
C42,place order,2015-01-11 10:45:39+00:00,2015-01-11 10:33:36+00:00,UYDRD
C43,place order,2015-01-12 03:11:18+00:00,2015-01-12 03:02:24+00:00,ZBEXO
C18,send invoice,2015-01-12 08:49:30+00:00,2015-01-12 08:40:07+00:00,UYDRD
C30,send invoice,2015-01-12 09:23:05+00:00,2015-01-12 09:15:02+00:00,RCEUC
C44,place order,2015-01-12 09:24:55+00:00,2015-01-12 09:20:46+00:00,BALPA
C45,place order,2015-01-12 11:05:53+00:00,2015-01-12 10:59:39+00:00,EQRLD
C29,send invoice,2015-01-12 11:49:53+00:00,2015-01-12 11:43:56+00:00,FGXWW
C46,place order,2015-01-12 13:28:52+00:00,2015-01-12 13:17:25+00:00,BALPA
C47,place order,2015-01-12 15:07:30+00:00,2015-01-12 14:52:57+00:00,KXHUV
C24,send invoice,2015-01-12 16:39:12+00:00,2015-01-12 16:23:07+00:00,FGXWW
C48,place order,2015-01-12 17:09:41+00:00,2015-01-12 17:04:02+00:00,BALPA
C49,place order,2015-01-12 18:30:42+00:00,2015-01-12 18:26:11+00:00,VNOHU
C34,send invoice,2015-01-12 20:33:57+00:00,2015-01-12 20:26:57+00:00,HLJOP
C50,place order,2015-01-12 21:16:42+00:00,2015-01-12 20:54:47+00:00,KXHUV
C51,place order,2015-01-13 02:36:18+00:00,2015-01-13 02:29:54+00:00,VNOHU
C52,place order,2015-01-13 09:55:44+00:00,2015-01-13 09:45:01+00:00,FWWWF
C53,place order,2015-01-13 11:59:26+00:00,2015-01-13 11:48:09+00:00,UYDRD
C17,send invoice,2015-01-13 12:44:39+00:00,2015-01-13 12:42:14+00:00,EMEYV
C54,place order,2015-01-13 13:57:41+00:00,2015-01-13 13:54:25+00:00,VXRUO
C35,send invoice,2015-01-13 14:38:07+00:00,2015-01-13 14:30:43+00:00,DTZWY
C32,send invoice,2015-01-13 15:07:36+00:00,2015-01-13 14:58:26+00:00,UYDRD
C55,place order,2015-01-13 16:45:10+00:00,2015-01-13 16:06:58+00:00,RLTSN
C46,send invoice,2015-01-13 17:09:43+00:00,2015-01-13 17:03:57+00:00,RLTSN
C45,send invoice,2015-01-13 17:25:34+00:00,2015-01-13 17:18:58+00:00,VNOHU
C56,place order,2015-01-13 17:46:42+00:00,2015-01-13 17:32:03+00:00,RWVYG
C9,send reminder,2015-01-13 18:14:33+00:00,2015-01-13 18:05:48+00:00,KYICA
C36,send invoice,2015-01-13 18:17:05+00:00,2015-01-13 18:08:39+00:00,HLJOP
C57,place order,2015-01-13 19:35:34+00:00,2015-01-13 19:22:13+00:00,KXHUV
C22,send invoice,2015-01-13 20:05:15+00:00,2015-01-13 19:57:28+00:00,HLJOP
C58,place order,2015-01-14 00:29:33+00:00,2015-01-13 22:20:40+00:00,KXHUV
C59,place order,2015-01-14 08:59:39+00:00,2015-01-14 08:29:35+00:00,UYDRD
C31,send invoice,2015-01-14 10:01:17+00:00,2015-01-14 09:58:20+00:00,FWWWF
C60,place order,2015-01-14 11:15:34+00:00,2015-01-14 10:32:30+00:00,LYVGB
C42,send invoice,2015-01-14 10:41:13+00:00,2015-01-14 10:37:44+00:00,VNOHU
C27,send invoice,2015-01-14 11:48:18+00:00,2015-01-14 11:43:47+00:00,RCEUC
C47,send invoice,2015-01-14 11:59:26+00:00,2015-01-14 11:53:48+00:00,RWVYG
C61,place order,2015-01-14 15:53:15+00:00,2015-01-14 12:23:07+00:00,RLTSN
C62,place order,2015-01-14 14:14:43+00:00,2015-01-14 14:04:21+00:00,FWWWF
C33,send invoice,2015-01-14 14:34:09+00:00,2015-01-14 14:22:52+00:00,UYDRD
C38,send invoice,2015-01-14 14:53:10+00:00,2015-01-14 14:47:33+00:00,RLTSN
C12,send reminder,2015-01-14 15:25:14+00:00,2015-01-14 15:03:57+00:00,VNOHU
C63,place order,2015-01-14 15:30:39+00:00,2015-01-14 15:26:49+00:00,RLTSN
C7,send reminder,2015-01-14 16:01:33+00:00,2015-01-14 15:47:10+00:00,RWVYG
C44,send invoice,2015-01-14 16:23:26+00:00,2015-01-14 16:19:10+00:00,FGXWW
C64,place order,2015-01-14 17:14:58+00:00,2015-01-14 17:11:45+00:00,ZBEXO
C50,send invoice,2015-01-14 17:25:29+00:00,2015-01-14 17:17:35+00:00,RLTSN
C52,send invoice,2015-01-14 17:31:49+00:00,2015-01-14 17:27:07+00:00,VNOHU
C58,send invoice,2015-01-14 18:02:39+00:00,2015-01-14 17:58:30+00:00,RWVYG
C49,send invoice,2015-01-14 18:17:12+00:00,2015-01-14 18:13:21+00:00,ZBEXO
C65,place order,2015-01-14 18:58:27+00:00,2015-01-14 18:41:38+00:00,HLJOP
C66,place order,2015-01-14 22:08:10+00:00,2015-01-14 21:41:08+00:00,KXHUV
C67,place order,2015-01-15 06:11:17+00:00,2015-01-15 06:08:00+00:00,FGXWW
C41,send invoice,2015-01-15 08:40:08+00:00,2015-01-15 08:34:14+00:00,FGXWW
C56,send invoice,2015-01-15 09:04:27+00:00,2015-01-15 08:58:49+00:00,KYICA
C68,place order,2015-01-15 10:04:18+00:00,2015-01-15 09:44:55+00:00,BALPA
C14,send reminder,2015-01-15 10:42:05+00:00,2015-01-15 10:35:11+00:00,VXRUO
C13,send reminder,2015-01-15 12:02:49+00:00,2015-01-15 11:43:54+00:00,HLJOP
C69,place order,2015-01-15 15:30:01+00:00,2015-01-15 11:47:58+00:00,DTZWY
C70,place order,2015-01-15 14:07:21+00:00,2015-01-15 13:54:03+00:00,EXXRY
C20,send reminder,2015-01-15 16:10:15+00:00,2015-01-15 15:52:40+00:00,SMSNY
C71,place order,2015-01-15 16:10:17+00:00,2015-01-15 16:06:13+00:00,RWVYG
C21,send invoice,2015-01-15 16:42:26+00:00,2015-01-15 16:35:50+00:00,HLJOP
C1,pay,2015-01-15 16:59:55+00:00,2015-01-15 16:54:59+00:00,BALPA
