User,Item,Rating,,Sum of Rating,Column Labels,,,,,,
A,u,2,,Row Labels, z,u,v,w,x,y,Grand Total
A,v,4,,A,5,2,4,1,3,2,17
A,w,1,,B,2,1,1,2,1,1,8
A,x,3,,C,5,2,2,1,2,1,13
A,y,2,,D,5,2,3,1,2,1,14
A, z,5,,E,4,3,5,1,1,2,16
B,u,1,,F,2,1,4,5,2,3,17
B,v,1,,Grand Total,23,11,19,11,11,10,85
B,w,2,,,,,,,,,
B,x,1,,,,,,,,,
B,y,1,,,,,,,,,
B, z,2,,,,,,,,,
C,u,2,,,,,,,,,
C,v,2,,,,,,,,,
C,w,1,,,,,,,,,
C,x,2,,,,,,,,,
C,y,1,,,,,,,,,
C, z,5,,,,,,,,,
D,u,2,,,,,,,,,
D,v,3,,,,,,,,,
D,w,1,,,,,,,,,
D,x,2,,,,,,,,,
D,y,1,,,,,,,,,
D, z,5,,,,,,,,,
E,u,3,,,,,,,,,
E,v,5,,,,,,,,,
E,w,1,,,,,,,,,
E,x,1,,,,,,,,,
E,y,2,,,,,,,,,
E, z,4,,,,,,,,,
F,u,1,,,,,,,,,
F,v,4,,,,,,,,,
F,w,5,,,,,,,,,
F,x,2,,,,,,,,,
F,y,3,,,,,,,,,
F, z,2,,,,,,,,,
